model_uid,x,y,z
00448ec0c83b4538a85a8b783f72dd98,-105,0,5
7d2737e16fcf4d40bc549521ba6a2d02,-90,0,0
c02fe83990f24260b3bfc4b0f9bb74d9,-100,0,10
cc4ae96b60524530b1f4d7728366cdeb,-80,0,-5
faf5e9d775a340019603d5868b77ef1b,90,0,0
7e9e5cb85b534a70a6371b9b1ca8fcb1,-90,0,0
4f58ca0df18c42b59d5d761891b768d4,180,0,-5
b12fcb929ee043dcb0770ef32012d7d6,-90,0,0
b4371e6cd06746ae99da2723488a1428,-90,0,0
295f55cfc08f4252955bafbe15a67a4b,90,0,0
6e0fbf15ee104d888fa32411c768cd34,-85,0,0
9eb9c1f2c2ea4c5ba9e5e04ac7e636ac,-140,0,0
9d815a629846462a8107baf936ee4e66,-130,0,5
7adfc1c94f4c483fb2337620e5fe0f79,-135,0,25
48204b04075b4295adda55a913fe9b3f,-90,0,0
a2ef1e945e8a4d5b9b6425c96083a3b7,-90,0,0
e3eb88143d0b4e039bf7a21fdac2e4b1,90,0,0
a5fc673f17c947bebd3c44ee181cabc4,-90,0,0
b4f97bfa98234ac58b2991d6ac0a18a9,-90,0,0
795ffc209ab840f79395239a619a332d,-85,0,-12
8b16dc8f657f4132a4e150c85cb04c2a,-90,0,0
6d38fa5f96d64b158f3f0fa11187bdf7,-90,0,0
dcf2a90be4934800b8ee316723a9ff4c,-90,0,0
e06bceb2b62f444794a5d8030ab70ecd,-90,0,0
498cc597ea26402dab17dcf405a82ce6,10,0,-5
e4f4f433c23b4b028dbd01536759d522,-90,0,0
fdb2cbc1bfa44013ad92447663220efe,-90,0,0
8d16343b2f4b4184b57a86793ea3b97d,,,
221e2fc888b04bc587aabcb709159e60,,,
9605b2b278774b5bb4e486695e6d920a,,,
421a6e8ef6644c6880ace887c9dbfdd9,,,
7cc25b8ed0374a0592df7968fa1f0087,,,
3a8bfbb543904e95b70f97d5c0a3b125,,,
3a8bfbb543904e95b70f97d5c0a3b125,,,
889d114ac498488bb074e67bd6e9165e,,,
be690360e1e944bf994f742de184c655,,,
